city,date,count,age,source
Гостивар,2020-04-29,1.0,,http://www.iph.mk/%d0%bf%d0%be%d0%b4%d0%b0%d1%82%d0%be%d1%86%d0%b8-%d0%b7%d0%b0-covid-19-%d0%b7%d0%b0-29-4-2020/
Прилеп,2020-04-30,3.0,,http://www.iph.mk/covid-3042020/
Кочани,2020-04-30,1.0,,http://www.iph.mk/covid-3042020/
Струга,2020-05-01,1.0,,http://www.iph.mk/covid19-1-5-2020/
Куманово,2020-05-02,1.0,,http://www.iph.mk/podatoci-za-covid19-za-2-5-2020/
Струга,2020-05-02,1.0,,http://www.iph.mk/podatoci-za-covid19-za-2-5-2020/
Скопје,2020-05-03,1.0,60-69,http://www.iph.mk/%d0%bf%d0%be%d0%b4%d0%b0%d1%82%d0%be%d1%86%d0%b8-%d0%b7%d0%b0-covid-19-%d0%b7%d0%b0-3-5-2020/
Тетово,2020-05-04,1.0,50-59,http://www.iph.mk/%d0%bf%d0%be%d0%b4%d0%b0%d1%82%d0%be%d1%86%d0%b8-%d0%b7%d0%b0-covid-19-%d0%b7%d0%b0-4-5-2020/
Прилеп,2020-05-05,1.0,60-69,http://www.iph.mk/%d0%bf%d0%be%d0%b4%d0%b0%d1%82%d0%be%d1%86%d0%b8-%d0%b7%d0%b0-covid-19-%d0%b7%d0%b0-5-5-2020/
Битола,2020-05-05,1.0,50-59,http://www.iph.mk/%d0%bf%d0%be%d0%b4%d0%b0%d1%82%d0%be%d1%86%d0%b8-%d0%b7%d0%b0-covid-19-%d0%b7%d0%b0-5-5-2020/
Велес,2020-05-06,1.0,70-79,http://www.iph.mk/%d0%bf%d0%be%d0%b4%d0%b0%d1%82%d0%be%d1%86%d0%b8-%d0%b7%d0%b0-covid-19-%d0%b7%d0%b0-6-5-2020/
Тетово,2020-05-07,1.0,60-69,https://press24.mk/vo-zemjava-deneska-eden-pochinaa-potvrdeni-se-14-novi-sluchai-na-koronavirusot-ozdraveni-se-20
Велес,2020-05-08,1.0,50-59,http://www.iph.mk/%d1%81%d0%be%d1%81%d1%82%d0%be%d1%98%d0%b1%d0%b0-%d1%81%d0%be-covid-19-%d0%b2%d0%be-%d1%81%d0%b5%d0%b2%d0%b5%d1%80%d0%bd%d0%b0-%d0%bc%d0%b0%d0%ba%d0%b5%d0%b4%d0%be%d0%bd%d0%b8%d1%98%d0%b0-%d0%b8-9/
Делчево,2020-05-11,1.0,60-69,http://www.iph.mk/covid19-12-5-2020/
